song_id,song,artist,reentry_date,previous_rank,reentry_rank,rank_jump,previous_popularity,reentry_popularity,popularity_change,popularity_change_rate,peak_rank_after_reentry,peak_date,peak_improvement,retention_days,rank_recovery_speed,rank_volatility,momentum_score
If We Ever Meet Again - Lim Young Woong,If We Ever Meet Again,Lim Young Woong,2025-03-02,21,21,0,63,62,-1,-1.5873015873015872,20,2025-03-03,1,224,1.0,3.231283000967542,0.45
Fortnight (feat. Post Malone) - Taylor Swift,Fortnight (feat. Post Malone),Taylor Swift,2025-05-28,46,50,-4,95,95,0,0.0,49,2025-05-29,1,10,1.0,0.5773502691896257,0.45
MAESTRO - SEVENTEEN,MAESTRO,SEVENTEEN,2025-05-15,41,49,-8,81,81,0,0.0,48,2025-05-16,1,2,1.0,0.0,0.45
London Boy - Lim Young Woong,London Boy,Lim Young Woong,2025-03-02,15,15,0,67,66,-1,-1.4925373134328357,14,2025-03-03,1,263,1.0,2.0465696989594977,0.45
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,2025-03-02,11,11,0,71,70,-1,-1.4084507042253522,10,2025-03-03,1,263,1.0,1.9399137367734802,0.45
T.B.H - QWER,T.B.H,QWER,2025-10-17,47,48,-1,59,59,0,0.0,47,2025-10-18,1,2,1.0,0.0,0.45
we can't be friends (wait for your love) - Ariana Grande,we can't be friends (wait for your love),Ariana Grande,2025-05-08,46,50,-4,94,94,0,0.0,49,2025-05-09,1,4,1.0,0.9428090415820634,0.45
Not Like Us - Kendrick Lamar,Not Like Us,Kendrick Lamar,2025-07-31,46,47,-1,97,97,0,0.0,46,2025-08-01,1,4,1.0,1.699673171197595,0.45
Perfect Night - LE SSERAFIM,Perfect Night,LE SSERAFIM,2025-03-02,12,14,-2,90,90,0,0.0,13,2025-03-03,1,234,1.0,3.739754008160329,0.45
Yes or No - Jung Kook,Yes or No,Jung Kook,2025-03-26,28,28,0,83,83,0,0.0,27,2025-03-27,1,44,1.0,3.201536449027407,0.45
Nest - Lim Young Woong,Nest,Lim Young Woong,2025-01-11,49,50,-1,56,57,1,1.7857142857142856,50,2025-01-11,0,1,0.0,0.0,0.4464285714285714
Love Station - Lim Young Woong,Love Station,Lim Young Woong,2024-12-05,49,50,-1,56,57,1,1.7857142857142856,50,2024-12-05,0,1,0.0,0.0,0.4464285714285714
Drowning - WOODZ,Drowning,WOODZ,2025-11-19,49,49,0,60,61,1,1.6666666666666667,49,2025-11-19,0,4,0.0,0.0,0.4166666666666667
