song_id,song,artist,comeback_number,reentry_date,reentry_rank,reentry_popularity,peak_rank,peak_date,retention_days,average_rank,average_popularity,rank_decay,days_to_peak,rank_recovery_speed,rank_stability,first_entry_rank,first_entry_popularity,first_entry_peak_rank,first_entry_retention_days,first_entry_average_rank,first_entry_average_popularity,rank_improvement_vs_first_entry,peak_improvement_vs_first_entry,retention_change_vs_first_entry
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,7,2025-11-03,45,59,41,2025-11-09,14,46.142857142857146,59.0,6,6,0.6666666666666666,1.95555000554213,30,0,6,142,8.838028169014084,69.66197183098592,-15,-35,-128
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,8,2025-11-19,46,59,46,2025-11-19,1,46.0,59.0,0,0,0.0,0.0,30,0,6,142,8.838028169014084,69.66197183098592,-16,-40,-141
Don't Look Back In Anger - Remastered - Oasis,Don't Look Back In Anger - Remastered,Oasis,1,2025-09-03,45,78,45,2025-09-03,1,45.0,78.0,0,0,0.0,0.0,49,77,49,1,49.0,77.0,4,4,0
Don't Look Back in Anger - Remastered - Oasis,Don't Look Back in Anger - Remastered,Oasis,1,2025-09-02,45,74,45,2025-09-02,1,45.0,74.0,0,0,0.0,0.0,32,72,31,3,31.666666666666668,73.0,-13,-14,-2
Don't Look Back in Anger - Remastered - Oasis,Don't Look Back in Anger - Remastered,Oasis,2,2025-09-04,47,75,47,2025-09-04,1,47.0,75.0,0,0,0.0,0.0,32,72,31,3,31.666666666666668,73.0,-15,-16,-2
Drama - aespa,Drama,aespa,1,2025-03-02,27,87,25,2025-03-06,12,29.583333333333332,85.66666666666667,10,4,0.5,3.3967453227875044,23,0,14,110,20.7,85.81818181818181,-4,-11,-98
Drama - aespa,Drama,aespa,2,2025-03-15,32,85,29,2025-03-18,10,35.2,84.2,8,3,1.0,3.0840089349921005,23,0,14,110,20.7,85.81818181818181,-9,-15,-100
Drama - aespa,Drama,aespa,3,2025-03-26,35,83,35,2025-03-26,11,40.27272727272727,83.0,13,0,0.0,3.37908002541843,23,0,14,110,20.7,85.81818181818181,-12,-21,-99
Drama - aespa,Drama,aespa,4,2025-04-07,48,83,45,2025-04-14,11,48.18181818181818,83.0,4,7,0.42857142857142855,1.9400093720485896,23,0,14,110,20.7,85.81818181818181,-25,-31,-99
Drama - aespa,Drama,aespa,5,2025-04-20,50,83,50,2025-04-20,1,50.0,83.0,0,0,0.0,0.0,23,0,14,110,20.7,85.81818181818181,-27,-36,-109
Drama - aespa,Drama,aespa,6,2025-05-03,47,82,43,2025-05-05,7,45.0,82.71428571428571,4,2,2.0,1.7320508075688772,23,0,14,110,20.7,85.81818181818181,-24,-29,-103
Drama - aespa,Drama,aespa,7,2025-05-11,46,83,25,2025-05-24,54,36.77777777777778,81.61111111111111,25,13,1.6153846153846154,7.393691004272945,23,0,14,110,20.7,85.81818181818181,-23,-11,-56
Drama - aespa,Drama,aespa,8,2025-07-12,50,82,48,2025-07-15,5,49.0,82.0,0,3,0.6666666666666666,1.0,23,0,14,110,20.7,85.81818181818181,-27,-34,-105
Drama - aespa,Drama,aespa,9,2025-10-12,47,79,47,2025-10-12,1,47.0,79.0,0,0,0.0,0.0,23,0,14,110,20.7,85.81818181818181,-24,-33,-109
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] - Jung Kook & BTS,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,1,2024-10-16,38,82,31,2024-10-17,3,33.333333333333336,82.0,0,1,7.0,4.041451884327381,31,86,10,149,21.328859060402685,85.02684563758389,-7,-21,-146
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] - Jung Kook & BTS,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,2,2024-10-20,42,82,28,2024-10-21,3,39.0,82.0,19,1,14.0,9.848857801796104,31,86,10,149,21.328859060402685,85.02684563758389,-11,-18,-146
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] - Jung Kook & BTS,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,3,2024-10-26,33,82,21,2024-10-27,5,28.4,82.0,9,1,12.0,7.197221686178632,31,86,10,149,21.328859060402685,85.02684563758389,-2,-11,-144
